Author,Title,Word-count,File
Adamnan Saint 625?-704,De Locis Santis,13265,lemmatized/xml/urn:cts:latinLit:stoa0007.stoa002.opp-lat1.xml
Adnotationes super Lucanum,Adnotationes super Lucanum,84769,lemmatized/xml/urn:cts:latinLit:stoa0357c.stoa001.digilibLT-lat1.xml
Adnotationes super Lucanum,Adnotationes super Lucanum: supplementum,195108,lemmatized/xml/urn:cts:latinLit:stoa0357c.stoa002.digilibLT-lat1.xml
Adnotationes super Lucanum,Commenta Bernensia in Lucanum,77475,lemmatized/xml/urn:cts:latinLit:stoa0357c.stoa004.digilibLT-lat1.xml
Agennius Vrbicus,Commentum de agrorum qualitate,1801,lemmatized/xml/urn:cts:latinLit:stoa0012a.stoa002.digilibLT-lat1.xml
Agennius Vrbicus,Commentum de controuersiis,3745,lemmatized/xml/urn:cts:latinLit:stoa0012a.stoa003.digilibLT-lat1.xml
Agennius Vrbicus,De controuersiis agrorum,6853,lemmatized/xml/urn:cts:latinLit:stoa0012a.stoa001.digilibLT-lat1.xml
Agroecius,Ars de orthographia,3188,lemmatized/xml/urn:cts:latinLit:stoa0013c.stoa001.digilibLT-lat1.xml
Altercatio Hadriani Augusti et Epicteti Philosophi,Altercatio Hadriani Augusti et Epicteti Philosophi,1220,lemmatized/xml/urn:cts:latinLit:phi1500.phi001.digilibLT-lat1.xml
"Ambrose, Saint, Bishop of Milan",De lapsu virginis consecratae,5283,lemmatized/xml/urn:cts:latinLit:stoa0022.stoa036.corpuscorporum-lat1.xml
"Ambrose, Saint, Bishop of Milan",Hexaëmeron,63530,lemmatized/xml/urn:cts:latinLit:stoa0022.stoa054.corpuscorporum-lat1.xml
Ammianus Marcellinus,Rerum gestarum libri qui supersunt,141292,lemmatized/xml/urn:cts:latinLit:stoa0023.stoa001.digilibLT-lat1.xml
Ammianus Marcellinus,Res Gestae,156804,lemmatized/xml/urn:cts:latinLit:stoa0023.stoa001.perseus-lat2.xml
Anecdotum Medicum,Anecdotum Medicum,3786,lemmatized/xml/urn:cts:latinLit:dlt000006.001.csl-lat1.xml
Anonymous pilgrim of Piacenza,Itinerarium,7110,lemmatized/xml/urn:cts:latinLit:stoa0028e.stoa001.opp-lat1.xml
Anonymous pilgrim of Piacenza,Itinerarium,6788,lemmatized/xml/urn:cts:latinLit:stoa0028e.stoa001.opp-lat2.xml
Anonymous,Breviarius de Hierosolyma,639,lemmatized/xml/urn:cts:latinLit:stoa0329c.stoa001.opp-lat1.xml
Anonymous,Epitaphium Ennodii,135,lemmatized/xml/urn:cts:latinLit:phi9500.phi035.opp-lat1.xml
Anonymous,Itinerarium Hierosolymitanum‏,4324,lemmatized/xml/urn:cts:latinLit:stoa0329.stoa001.digilibLT-lat1.xml
Anonymous,Itinerarium Hierosolymitanum‏,13831,lemmatized/xml/urn:cts:latinLit:stoa0329.stoa001.opp-lat1.xml
Anthologia Latina,Anthologia Latina,72207,lemmatized/xml/urn:cts:latinLit:anthoLat.anthoLat.musisquedeoque-lat1.xml
Anthologia Latina,Anthologia Latina - Seneca Epigrammata,4804,lemmatized/xml/urn:cts:latinLit:anthoLat.phi1017.musisquedeoque-lat1.xml
Apicius,Appendicula.,4006,lemmatized/xml/urn:cts:latinLit:phi2003.phi004.opp-lat1.xml
Apicius,Brevis Ciborum. Excerpta.,1472,lemmatized/xml/urn:cts:latinLit:phi2003.phi002.opp-lat2.xml
Apicius,Brevis Pimentorum. Excerpta.,195,lemmatized/xml/urn:cts:latinLit:phi2003.phi003.opp-lat2.xml
Apicius,De Re Coquinaria,20241,lemmatized/xml/urn:cts:latinLit:phi2003.phi001.opp-lat3.xml
Apicius,De re coquinaria,20428,lemmatized/xml/urn:cts:latinLit:stoa0029.stoa001.digilibLT-lat1.xml
"Appendix Vergiliana, Lydia.","Appendix Vergiliana, Lydia - Dirae",1488,lemmatized/xml/urn:cts:latinLit:phi0692.phi002.remacle-lat1.xml
Appendix Vergiliana,Aetna,5069,lemmatized/xml/urn:cts:latinLit:stoa0297.stoa001.thayer-lat1.xml
Apuleius,Florida,9292,lemmatized/xml/urn:cts:latinLit:phi1212.phi003.perseus-lat2.xml
Apuleius,Metamorphoses,62139,lemmatized/xml/urn:cts:latinLit:phi1212.phi002.perseus-lat1.xml
Apuleius,Pro Se De Magia Liber,26039,lemmatized/xml/urn:cts:latinLit:phi1212.phi001.perseus-lat1.xml
Aquila Romanus,De figuris,5378,lemmatized/xml/urn:cts:latinLit:stoa0030b.stoa001.digilibLT-lat1.xml
Arnobius of Sicca,Arnobii adversus nationes Libri VII,76807,lemmatized/xml/urn:cts:latinLit:stoa0034.stoa001.opp-lat1.xml
Arusianus Messius,Exempla elocutionum,21942,lemmatized/xml/urn:cts:latinLit:stoa0035a.stoa001.digilibLT-lat1.xml
Asclepius,Asclepius,10366,lemmatized/xml/urn:cts:latinLit:stoa0030.stoa008.digilibLT-lat1.xml
Asper (Aemilius Asper?),σχήματα λόγου,752,lemmatized/xml/urn:cts:latinLit:phi1363.phi002.digilibLT-lat1.xml
Audax,Excerpta de Scauro et Palladio,13061,lemmatized/xml/urn:cts:latinLit:stoa0039c.stoa001.digilibLT-lat1.xml
Augustine,Adnotationes in Iob,31637,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa001a.opp-lat1.xml
Augustine,Breviculus Collationis cum Donatistis,16127,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa014a.opp-lat1.xml
Augustine,Commonitorium,984,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa015b.opp-lat1.xml
Augustine,Confessiones,94130,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa001.opp-lat1.xml
Augustine,Contra Academicos,26509,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa016.opp-lat1.xml
Augustine,Contra Adimantum,20532,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa017.opp-lat1.xml
Augustine,Contra Cresconium,67947,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa019.opp-lat1.xml
Augustine,Contra Duas Epistulas Pelegianorum,40263,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa021.opp-lat1.xml
Augustine,Contra Epistulam Parmeniani,32601,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa023.opp-lat1.xml
Augustine,Contra Faustum,148689,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa024.opp-lat1.xml
Augustine,Contra Felicem,16256,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa031a.opp-lat1.xml
Augustine,Contra Fortunatum,7870,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa024b.opp-lat1.xml
Augustine,Contra Gaudentium Donatistarum Episcopum,22430,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa025.opp-lat1.xml
Augustine,Contra Litteras Petiliani,67689,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa027.opp-lat1.xml
Augustine,Contra Mendacium,14231,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa029.opp-lat1.xml
Augustine,Contra Partem Donati Post Gesta,17715,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa029a.opp-lat1.xml
